32,50,68,86,104,96,117.5,146,174.5,196,188,206,224,242,260
41,29,22,27.5,30,81.7,89.7,,89.7,81.7,30,27.5,22,29,41
58,45.974,39.116,44.45,47,165,150,,150,165,47,44.45,39.116,45.974,58
75,62.992,56.134,61.468,64,,,,,,64,61.468,56.134,62.992,75
